In the name of GOD, Most Gracious, Most Merciful.|[Quran 1:1]
He will certainly admit the believing men and women into gardens with flowing streams, wherein they abide forever. He will remit their sins. This is, in the sight of GOD, a great triumph. |[Sura 48:5]
And He will requite the hypocrite men and women and the idol worshiping men and women, for they have harbored evil thoughts about GOD. Their evil will backfire against them. For GOD is angry with them, condemns them, and has prepared for them Gehenna. What a miserable destiny! |[Sura 48:6]
To GOD belongs all the forces in the heavens and the earth. GOD is Almighty, Most Wise. |[Sura 48:7]
We have sent you as a witness, a bearer of good news, and a warner. |[Sura 48:8]
That you people may believe in GOD and His messenger, and reverence Him, and observe Him, and glorify Him, day and night.  |[Sura 48:9]
Surely, those who pledge allegiance to you, are pledging allegiance to GOD. GOD approves their pledge; He places His hand above their hands. Those who violate such a pledge, commit the violation to their own detriment. As for those who fulfill their pledge with GOD, He will grant them a great recompense. |[Sura 48:10]
The sedentary Arabs who stay behind will say, "We have been preoccupied with our money and our families, so ask forgiveness for us!" They utter with their tongues what is not in their hearts. Say, "Who can protect you from GOD, if He willed any adversity for you, or if He willed any blessing for you?" GOD is fully Cognizant of everything you do. |[Sura 48:11]
You secretly believed that the messenger and the believers will be defeated and never come back to their families, and this was firmly established in your hearts. You harbored evil thoughts and turned into wicked people. |[Sura 48:12]
Anyone who refuses to believe in GOD and His messenger, we have prepared for the disbelievers a hellfire. |[Sura 48:13]
To GOD belongs the sovereignty of the heavens and the earth. He forgives whomever He wills, and punishes whomever He wills. GOD is Forgiver, Most Merciful. |[Sura 48:14]
The sedentary who stay behind will say, when you are expected to collect spoils of war, "Let us follow you to share in this!" They thus wish to alter GOD's words. Say, "You will not follow us. This is GOD's decision." They will then say, "You must be envious of us (for staying behind)." Indeed, they rarely understood anything. |[Sura 48:15]
Say to the sedentary Arabs who stay behind, "You will be invited to face powerful people and to fight them, unless they submit. If you obey, GOD will reward you with a generous recompense. But if you turn away again, as you did in the past, He will requite you with a painful retribution." |[Sura 48:16]
The blind is not to be blamed, the crippled is not to be blamed, and the sick is not to be blamed. Those who obey GOD and His messenger, He will admit them into gardens with flowing streams. As for those who turn away, He will requite them with a painful retribution. |[Sura 48:17]
GOD is pleased with the believers who pledged allegiance to you under the tree. He knew what was in their hearts and, consequently, He blessed them with contentment, and reward- ed them with an immediate victory. |[Sura 48:18]
Additionally, they gained many spoils. GOD is Almighty, Most Wise. |[Sura 48:19]
GOD has promised you many spoils that you will gain. He thus advanced some benefits for you in this life, and He has withheld the people's hands of aggression against you, and has rendered this a sign for the believers. He thus guides you in a straight path. |[Sura 48:20]
As for the group that you could not possibly defeat, GOD took care of them; GOD is Omnipotent. |[Sura 48:21]
If the disbelievers ever fought you, they would turn around and flee. They have no Lord and Master; they have no helper. |[Sura 48:22]
Such is GOD's system throughout history, and you will find that GOD's system is unchangeable. |[Sura 48:23]
He is the One who withheld their hands of aggression against you, and withheld your hands of aggression against them in the valley of Mecca, after He had granted you victory over them. GOD is Seer of everything you do. |[Sura 48:24]
It is they who disbelieved and barred you from the Sacred Masjid, and even prevented your offerings from reaching their destination. There were believing men and women (within the enemy camp) whom you did not know, and you were about to hurt them, unknowingly. GOD thus admits into His mercy whom- ever He wills. If they persist, He will requite those among them who dis- believe with a painful retribution. |[Sura 48:25]
While those who disbelieved were enraged, and their hearts were filled with the pride of the days of ignorance, GOD blessed His messenger and the believers with peaceful contentment, and directed them to uphold the word of right- eousness. This is what they well deserved. GOD is fully aware of all things. |[Sura 48:26]
GOD has fulfilled His messenger's truthful vision: "You will enter the Sacred Masjid, GOD willing, perfectly secure, and you will cut your hair or shorten it (as you fulfill the pilgrim- age rituals) there. You will not have any fear. Since He knew what you did not know, He has coupled this with an immediate victory." |[Sura 48:27]
He is the One who sent His messenger with the guidance and the religion of truth, to make it prevail over all other religions. GOD suffices as a witness. |[Sura 48:28]
Muhammad-the messenger of GOD-and those with him are harsh and stern against the disbelievers, but kind and compassionate amongst themselves. You see them bowing and prostrating, as they seek GOD's blessings and approval. Their marks are on their faces, because of prostrating. This is the same example as in the Torah. Their example in the Gospel is like plants that grow taller and stronger, and please the farmers. He thus enrages the disbelievers. GOD promises those among them who believe, and lead a righteous life, forgiveness and a great recompense.|[Sura 48:29]
O you who believe, do not place your opinion above that of GOD and His messenger. You shall reverence GOD. GOD is Hearer, Omniscient. |[Sura 49:1]
O you who believe, do not raise your voices above the voice of the prophet, nor shall you shout at him as you shout at each other, lest your works become nullified while you do not perceive. |[Sura 49:2]
Surely, those who lower their voices at the messenger of GOD are the ones whose hearts are prepared by GOD to become righteous. They have deserved forgiveness and a great recompense. |[Sura 49:3]
As for those who call on you from outside the walls, most of them do not understand. |[Sura 49:4]
Had they been patient until you came out to them, it would have been better for them. GOD is Forgiver, Most Merciful. |[Sura 49:5]
O you who believe, if a wicked person brings any news to you, you shall first investigate, lest you commit injustice towards some people, out of ignorance, then become sorry and remorseful for what you have done. |[Sura 49:6]
And know that GOD's messenger has come in your midst. Had he listened to you in many things, you would have made things difficult for yourselves. But GOD made you love faith and adorned it in your hearts, and He made you abhor disbelief, wickedness, and disobedience. These are the guided ones. |[Sura 49:7]
Such is grace from GOD and His blessings. GOD is Omniscient, Most Wise. |[Sura 49:8]
If two groups of believers fought with each other, you shall reconcile them. If one group aggresses against the other, you shall fight the aggres- sing group until they submit to GOD's command. Once they submit, you shall reconcile the two groups equitably. You shall maintain justice; GOD loves those who are just. |[Sura 49:9]
The believers are members of one family; you shall keep the peace within your family and reverence GOD, that you may attain mercy. |[Sura 49:10]
O you who believe, no people shall ridicule other people, for they may be better than they. Nor shall any women ridicule other women, for they may be better than they. Nor shall you mock one another, or make fun of your names. Evil indeed is the reversion to wickedness after attaining faith. Anyone who does not repent after this, these are the transgressors. |[Sura 49:11]
O you who believe, you shall avoid any suspicion, for even a little bit of suspicion is sinful. You shall not spy on one another, nor shall you backbite one another; this is as abominable as eating the flesh of your dead brother. You certainly abhor this. You shall observe GOD. GOD is Redeemer, Most Merciful. |[Sura 49:12]
O people, we created you from the same male and female, and rendered you distinct peoples and tribes, that you may recognize one another. The best among you in the sight of GOD is the most righteous. GOD is Omniscient, Cognizant. |[Sura 49:13]
The Arabs said, "We are Mu'mens (believers)." Say, "You have not believed; what you should say is, `We are Muslims (submitters),' until belief is established in your hearts." If you obey GOD and His messenger, He will not put any of your works to waste. GOD is Forgiver, Most Merciful. |[Sura 49:14]
Mu'mens (believers) are those who believe in GOD and His messenger, then attain the status of having no doubt whatsoever, and strive with their money and their lives in the cause of GOD. These are the truthful ones. |[Sura 49:15]
Say, "Are you informing GOD about your religion? GOD knows everything in the heavens and the earth. GOD is Omniscient." |[Sura 49:16]
They act as if they are doing you a favor by embracing Submission! Say, "You are not doing me any favors by embracing Submission. GOD is the One who is doing you a great favor by guiding you to the faith, if you are sincere." |[Sura 49:17]
GOD knows all the secrets in the heavens and the earth; GOD is Seer of everything you do.|[Sura 49:18]
Q., and the glorious Quran. |[Sura 50:1]
They found it strange that a warner from among them came to them! The disbelievers said, "This is really strange. |[Sura 50:2]
"After we die and become dust; this is impossible." |[Sura 50:3]
We are fully aware of anyone of them who gets consumed by the earth; we have an accurate record. |[Sura 50:4]
They rejected the truth when it came to them; they are utterly confused. |[Sura 50:5]
Have they not looked at the sky above them, and how we constructed it and adorned it, without a flaw? |[Sura 50:6]
And we created the earth, and scat- tered on it mountains, and grew in it all kinds of beautiful plants. |[Sura 50:7]
This is an enlightenment, and a re- minder for every pious worshiper. |[Sura 50:8]
And we sent from the sky blessed water, to grow with it gardens and grains to be harvested. |[Sura 50:9]
Tall date palms, with clustered fruit. |[Sura 50:10]
Provisions for the people. And we revive with it dead lands; you are similarly resurrected. |[Sura 50:11]
Disbelieving before them were the people of Noah, the dwellers of Russ, and Thamud. |[Sura 50:12]
And `Ad, Pharaoh, and the brethren of Lot. |[Sura 50:13]
And the dwellers of the woods, and the people of Tubba`. All of them disbelieved the messengers and, consequently, My retribution befell them. |[Sura 50:14]
Were we too burdened by the first creation? Is this why they doubt resurrection? |[Sura 50:15]
We created the human, and we know what he whispers to himself. We are closer to him than his jugular vein. |[Sura 50:16]

Two recording (angels), at right and at left, are constantly recording. |[Sura 50:17]
Not an utterance does he utter without an alert witness. |[Sura 50:18]
Finally, the inevitable coma of death comes; this is what you tried to evade. |[Sura 50:19]
The horn is blown; this is the promised day. |[Sura 50:20]
Every soul comes with a herder and a witness. |[Sura 50:21]
You used to be oblivious to this. We now remove your veil; today, your vision is (as strong as) steel. |[Sura 50:22]
The companion said, "Here is my formidable testimony." |[Sura 50:23]
Throw into Gehenna every stubborn disbeliever. |[Sura 50:24]
Forbidder of charity, aggressor, full of doubt. |[Sura 50:25]
He set up beside GOD another god. Throw him into severe retribution. |[Sura 50:26]
His companion said, "Our Lord, I did not mislead him; he was far astray." |[Sura 50:27]
He said, "Do not feud in front of Me; I have sufficiently warned you. |[Sura 50:28]
"Nothing can be changed now. I am never unjust towards the people." |[Sura 50:29]
That is the day when we ask Hell, "Have you had enough?" It will say, "Give me more." |[Sura 50:30]
Paradise will be offered to the righteous, readily. |[Sura 50:31]
This is what was promised to every repenter, steadfast. |[Sura 50:32]
They reverenced the Most Gracious, in their privacy, and came wholeheartedly. |[Sura 50:33]
Enter it in peace; this is the Day of Eternity. |[Sura 50:34]
They get anything they wish therein, and we have even more.  |[Sura 50:35]
Many a generation before them, who were more powerful, we annihilated. They searched the land; did they find an escape? |[Sura 50:36]
This should be a lesson for everyone who possesses a mind, or is able to hear and witness. |[Sura 50:37]
We have created the heavens and the earth, and everything between them in six days, and no fatigue touched us. |[Sura 50:38]
Therefore, be patient in the face of their utterances, and praise and glorify your Lord before sunrise, and before sunset. |[Sura 50:39]
During the night you shall meditate on His name, and after prostrating. |[Sura 50:40]
Prepare for the day when the caller calls from a place that is near. |[Sura 50:41]
When they hear the inevitable cry; that is the day you come out. |[Sura 50:42]
We are the ones who control life and death; to us is the final destiny. |[Sura 50:43]
The day will come when the earth cracks in a hurry, giving rise to them. Such summoning is easy for us to do. |[Sura 50:44]
We are fully aware of everything they utter, while you have no power over them. Therefore, remind with this Quran, those who reverence My warnings. |[Sura 50:45]
The blowing winds. |[Sura 51:1]
Bearing rain. |[Sura 51:2]
Bringing provisions. |[Sura 51:3]
Distributing them as commanded. |[Sura 51:4]
What is promised to you will surely come to pass. |[Sura 51:5]
The Day of Judgment is inevitable. |[Sura 51:6]
Despite the perfectly created sky. |[Sura 51:7]
You continue to dispute the truth. |[Sura 51:8]
Deviating therefrom are the deviators. |[Sura 51:9]
Woe to the falsifiers. |[Sura 51:10]
In their blundering, they are totally heedless. |[Sura 51:11]
They question the Day of Judgment. |[Sura 51:12]
The day they are presented to the fire. |[Sura 51:13]
Taste the retribution; this is what you used to challenge. |[Sura 51:14]
The righteous have deserved gardens and springs. |[Sura 51:15]
They receive their Lord's rewards, for they used to be pious. |[Sura 51:16]
Rarely did they sleep the whole night. |[Sura 51:17]
At dawn, they prayed for forgiveness. |[Sura 51:18]
A portion of their money was set aside for the beggar and the needy. |[Sura 51:19]
The earth is full of signs for those who are certain. |[Sura 51:20]
And within yourselves; can you see? |[Sura 51:21]
In the heaven is your provision, and everything that is promised to you. |[Sura 51:22]
By the Lord of the heaven and the earth, this is as true as the fact that you speak. |[Sura 51:23]
Have you noted the history of Abraham's honorable guests? |[Sura 51:24]
They visited him, saying, "Peace." He said, "Peace to you, strangers!" |[Sura 51:25]
He asked his family to prepare a fat calf. |[Sura 51:26]
When he offered it to them, he remarked, "Do you not eat?" |[Sura 51:27]
He harbored fear of them. They said, "Have no fear," and they gave good news of a knowledgeable son. |[Sura 51:28]
His wife was astonished. Noting her wrinkled face: "I am a sterile old woman." |[Sura 51:29]
They said, "Thus said your Lord. He is the Most Wise, the Omniscient." |[Sura 51:30]
He said, "What are you up to, O messengers?" |[Sura 51:31]
They said, "We have been dispatched to criminal people. |[Sura 51:32]
"We will shower them with rocks of clay. |[Sura 51:33]
"Marked by your Lord for the transgressors." |[Sura 51:34]
We then delivered all the believers. |[Sura 51:35]
We did not find in it except one house of submitters. |[Sura 51:36]
We set it up as a lesson for those who fear the painful retribution. |[Sura 51:37]
In Moses (there is a lesson). We sent him to Pharaoh with manifest proofs. |[Sura 51:38]
But he turned away, in arrogance, and said, "Magician, or crazy." |[Sura 51:39]
Consequently, we punished him and his troops. We threw them into the sea, and he is the one to blame. |[Sura 51:40]
In `Ad (there is a lesson). We sent upon them disastrous wind. |[Sura 51:41]
Anything that it came upon was utterly destroyed. |[Sura 51:42]
In Thamud (there is a lesson). They were told, "Enjoy temporarily." |[Sura 51:43]
They rebelled against the command of their Lord. Consequently, the lightning struck them as they looked. |[Sura 51:44]
They could never get up, nor were they helped. |[Sura 51:45]
And the people of Noah before that; they were wicked people. |[Sura 51:46]
We constructed the sky with our hands, and we will continue to expand it. |[Sura 51:47]
And we made the earth habitable; a perfect design. |[Sura 51:48]
We created a pair (male and female) of everything, that you may take heed. |[Sura 51:49]
You shall escape to GOD. I am sent by Him to you as a manifest warner. |[Sura 51:50]
Do not set up beside GOD any other god. I am sent by Him to you as a manifest warner. |[Sura 51:51]
Consistently, when a messenger went to the previous generations, they said, "Magician," or, "Crazy." |[Sura 51:52]
Did they make an agreement with each other? Indeed, they are transgressors. |[Sura 51:53]
You may disregard them; you cannot be blamed. |[Sura 51:54]
And remind, for the reminder benefits the believers. |[Sura 51:55]
I did not create the jinns and the humans except to worship Me alone. |[Sura 51:56]
I need no provisions from them, nor do I need them to feed Me. |[Sura 51:57]
GOD is the Provider, the Possessor of all power, the Supreme. |[Sura 51:58]
The transgressors have incurred the same fate as their previous counter- parts; they should not challenge. |[Sura 51:59]
Woe to those who disbelieved from the day that is awaiting them. |[Sura 51:60]
Mt. Sinai. |[Sura 52:1]
The recorded scripture. |[Sura 52:2]
Published in books. |[Sura 52:3]
The frequented Shrine. |[Sura 52:4]
The exalted ceiling. |[Sura 52:5]
The sea that is set aflame. |[Sura 52:6]
Your Lord's requital is unavoidable. |[Sura 52:7]
No force in the universe can stop it. |[Sura 52:8]
The day will come when the sky will violently thunder. |[Sura 52:9]
The mountains will be wiped out. |[Sura 52:10]
Woe on that day to the disbelievers- |[Sura 52:11]
who are in their blundering, heedless. |[Sura 52:12]
They will be herded into Gehenna, forcibly. |[Sura 52:13]
This is the Fire in which you used to disbelieve. |[Sura 52:14]
Is this magic, or do you not see? |[Sura 52:15]
Suffer the burning. Whether you are patient or impatient, it will be the same for you. This is the just requital for what you did. |[Sura 52:16]
The righteous have deserved gardens and bliss. |[Sura 52:17]
They enjoy what their Lord has reserved for them; their Lord has spared them the retribution of Hell. |[Sura 52:18]
Eat and drink happily, in return for your works. |[Sura 52:19]
They relax on luxurious furnishings, and we match them with beautiful spouses. |[Sura 52:20]
For those who believed, and their children also followed them in belief, we will have their children join them. We never fail to reward them for any work. Every person is paid for what he did. |[Sura 52:21]
We will supply them with fruits and meats that they love. |[Sura 52:22]
They will enjoy drinks that are never polluted, and never sinful to drink. |[Sura 52:23]
Serving them will be servants like protected pearls. |[Sura 52:24]
They will meet each other and reminisce among themselves. |[Sura 52:25]
They will say, "We used to be kind and humble among our people. |[Sura 52:26]
"GOD has blessed us, and has spared us the agony of ill winds. |[Sura 52:27]
"We used to implore Him; He is the Most Kind, Most Merciful." |[Sura 52:28]
You shall remind the people. With your Lord's blessing's upon you, you are neither a soothsayer, nor crazy. |[Sura 52:29]
They may say, "He is a poet; let us just wait until he is dead." |[Sura 52:30]
Say, "Go on waiting; I will wait along with you." |[Sura 52:31]
Is it their dreams that dictate their behavior, or are they naturally wicked? |[Sura 52:32]
Do they say, "He made it all up?" Instead, they are simply disbelievers. |[Sura 52:33]
Let them produce a Hadith like this, if they are truthful. |[Sura 52:34]
Were they created from nothing? Are they the creators? |[Sura 52:35]
Did they create the heavens and the earth? Indeed, they have no certainty. |[Sura 52:36]
Do they possess the treasures of your Lord? Are they in control? |[Sura 52:37]
Do they climb a ladder that enables them to listen? Let their listeners show their proof. |[Sura 52:38]
Does He have daughters, while you have sons? |[Sura 52:39]
Are you asking them for any wage, and they are burdened thereby? |[Sura 52:40]
Do they know the future, and have it recorded? |[Sura 52:41]
Are they plotting and scheming? The disbelievers' schemes backfire against them. |[Sura 52:42]
Do they have another god beside GOD? GOD be glorified, far above having partners. |[Sura 52:43]
When they see masses falling from the sky, they will say, "Piled clouds!" |[Sura 52:44]
Disregard them until they meet the day in which they are struck. |[Sura 52:45]
On that day, their schemes will not protect them, nor will they be helped. |[Sura 52:46]
Those who transgress suffer retribution here, but most of them do not know. |[Sura 52:47]
You shall steadfastly persevere in carrying out your Lord's command- you are in our eyes-and glorify and praise your Lord when you get up. |[Sura 52:48]
Also during the night glorify Him, and at dawn as the stars fade away.|[Sura 52:49]
As the stars fell away.|[Sura 53:1]
Your friend (Muhammad) was not astray, nor was he deceived.|[Sura 53:2]
Nor was he speaking out of a personal desire.|[Sura 53:3]
It was divine inspiration.|[Sura 53:4]
Dictated by the Most Powerful. |[Sura 53:5]
Possessor of all authority. From His highest height. |[Sura 53:6]
At the highest horizon. |[Sura 53:7]
He drew nearer by moving down. |[Sura 53:8]
Until He became as close as possible. |[Sura 53:9]
He then revealed to His servant what was to be revealed. |[Sura 53:10]
The mind never made up what it saw. |[Sura 53:11]
Are you doubting what he saw? |[Sura 53:12]
He saw him in another descent. |[Sura 53:13]
At the ultimate point. |[Sura 53:14]
Where the eternal Paradise is located. |[Sura 53:15]
The whole place was overwhelmed. |[Sura 53:16]
The eyes did not waver, nor go blind. |[Sura 53:17]
He saw great signs of his Lord. |[Sura 53:18]
Compare this with the female idols Allaat and Al-`Uzzah. |[Sura 53:19]
And Manaat, the third one. |[Sura 53:20]
Do you have sons, while He has these as daughters? |[Sura 53:21]
What a disgraceful distribution! |[Sura 53:22]
These are but names that you made up, you and your forefathers. GOD never authorized such a blasphemy. They follow conjecture, and personal desire, when the true guidance has come to them herein from their Lord. |[Sura 53:23]
What is it that the human being desires? |[Sura 53:24]
 To GOD belongs both the Hereafter, and this world. |[Sura 53:25]
Not even the angels in heaven possess authority to intercede. The only ones permitted by GOD are those who act in accordance with His will and His approval. |[Sura 53:26]
Those who disbelieve in the Hereafter have given the angels feminine names. |[Sura 53:27]
They had no knowledge about this; they only conjectured. Conjecture is no substitute for the truth. |[Sura 53:28]
You shall disregard those who turn away from our message, and become preoccupied with this worldly life. |[Sura 53:29]
This is the extent of their knowledge. Your Lord is fully aware of those who strayed away from His path, and He is fully aware of those who are guided. |[Sura 53:30]
To GOD belongs everything in the heavens and everything on earth. He will requite those who commit evil for their works, and will reward the righteous for their righteousness. |[Sura 53:31]
They avoid gross sins and transgres- sions, except for minor offenses. Your Lord's forgiveness is immense. He has been fully aware of you since He initiated you from the earth, and while you were embryos in your mothers' bellies. Therefore, do not exalt yourselves; He is fully aware of the righteous. |[Sura 53:32]
Have you noted the one who turned away? |[Sura 53:33]
Rarely did he give to charity, and then very little. |[Sura 53:34]
Did he possess knowledge of the future? Could he see it? |[Sura 53:35]
Was he not informed of the teach- ings in the scripture of Moses? |[Sura 53:36]
And Abraham who fulfilled? |[Sura 53:37]
No soul bears the sins of another soul. |[Sura 53:38]
Every human being is responsible for his own works. |[Sura 53:39]
And everyone's works will be shown. |[Sura 53:40]
Then they will be paid fully for such works. |[Sura 53:41]
To your Lord is the final destiny. |[Sura 53:42]
He is the One who makes you laugh or cry. |[Sura 53:43]
He is the One who controls death and life. |[Sura 53:44]
He is the One who created the two kinds, male and female- |[Sura 53:45]
from a tiny drop of semen. |[Sura 53:46]
He will effect the recreation. |[Sura 53:47]
He is the One who makes you rich or poor. |[Sura 53:48]
He is the Lord of the galaxies. |[Sura 53:49]
He is the One who annihilated ancient `Ad. |[Sura 53:50]
And wiped out Thamud. |[Sura 53:51]
Also the people of Noah before that; they were evil transgressors. |[Sura 53:52]
The evil communities (of Sodom and Gomorrah) were the lowliest. |[Sura 53:53]
Consequently, they utterly vanished. |[Sura 53:54]
Which of your Lord's marvels can you deny? |[Sura 53:55]
This is a warning like the older ones. |[Sura 53:56]
The inevitable is imminent. |[Sura 53:57]
None beside GOD can relieve it. |[Sura 53:58]
Are you questioning this matter? |[Sura 53:59]
Are you laughing, instead of crying? |[Sura 53:60]
Are you insisting on your ways? |[Sura 53:61]
You shall fall prostrate before GOD, and worship. |[Sura 53:62]
The Hour has come closer, and the moon has split. |[Sura 54:1]
Then they saw a miracle; but they turned away and said, "Old magic." |[Sura 54:2]
They disbelieved, followed their opinions, and adhered to their old traditions. |[Sura 54:3]
Sufficient warnings have been delivered to alert them. |[Sura 54:4]
Great wisdom; but all the warnings have been in vain. |[Sura 54:5]
Ignore them; the day will come when the caller will announce a terrible disaster. |[Sura 54:6]
With their eyes humiliated, `they come out of the graves like scattered locusts. |[Sura 54:7]
As they respond to the caller, the disbelievers will say, "This is a difficult day." |[Sura 54:8]
The people of Noah disbelieved before them. They disbelieved our servant and said, "Crazy!" He was persecuted. |[Sura 54:9]
He implored his Lord, "I am oppressed; grant me victory." |[Sura 54:10]
We then opened the gates of the sky, pouring water. |[Sura 54:11]
And we caused springs to gush out of the earth. The waters met to effect a predetermined decision. The Ark |[Sura 54:12]
We carried him on a watercraft made of logs and ropes. |[Sura 54:13]
It ran under our watchful eyes; a reward for one who was rejected. |[Sura 54:14]
We have set it up as a lesson. Does any of you wish to learn? |[Sura 54:15]
How terrible was My retribution after the warnings! |[Sura 54:16]
We made the Quran easy to learn. Does any of you wish to learn? |[Sura 54:17]
`Ad disbelieved. Consequently, how terrible was My retribution after the warnings. |[Sura 54:18]
We sent upon them violent winds, on a day of continuous misery. |[Sura 54:19]
It tossed the people around as if they were decayed palm tree trunks. |[Sura 54:20]
How terrible was My retribution after the warnings! |[Sura 54:21]
We made the Quran easy to learn. Does any of you wish to learn? |[Sura 54:22]
Thamud rejected the warnings. |[Sura 54:23]
They said, "Shall we follow one of us; a human being? We will then go astray, then end up in Hell. |[Sura 54:24]
"Did the message come down to him, instead of us? He is a flagrant liar." |[Sura 54:25]
They will find out tomorrow who the flagrant liar is. |[Sura 54:26]
We are sending the camel as a test for them. Watch them and be patient. |[Sura 54:27]
Inform them that the water shall be divided among them; (the camel) shall be allowed to drink on her designated day. |[Sura 54:28]
But they persuaded their friend to kill (the camel), and he obliged. |[Sura 54:29]
Consequently, how terrible was My retribution! They have been warned. |[Sura 54:30]
We sent upon them one blow, whereupon they became like harvested hay. |[Sura 54:31]
We made the Quran easy to learn. Does any of you wish to learn? |[Sura 54:32]
The people of Lot rejected the warnings. |[Sura 54:33]
We showered them with rocks. Only Lot's family was saved at dawn. |[Sura 54:34]
We blessed him and his family; we thus reward the appreciative. |[Sura 54:35]
He warned them about our requital, but they ridiculed the warnings. |[Sura 54:36]
They negotiated with him about his guests; we blinded them. Suffer My retribution; you have been warned. |[Sura 54:37]
Early the next morning, a devastating retribution struck them. |[Sura 54:38]
Suffer My retribution; you have been warned. |[Sura 54:39]
We made the Quran easy to learn. Does any of you wish to learn? |[Sura 54:40]
Pharaoh's people were warned. |[Sura 54:41]
They rejected all our signs. Consequently, we requited them as an Almighty, Omnipotent should. |[Sura 54:42]
Are your disbelievers better than those disbelievers? Have you been absolved by the scripture? |[Sura 54:43]
Perhaps they think, "We will be the winners." |[Sura 54:44]
All of them will be defeated; they will turn around and flee. |[Sura 54:45]
The Hour is awaiting them, and the Hour is far worse and more painful. |[Sura 54:46]
Certainly, the guilty are astray, and will end up in Hell. |[Sura 54:47]
They will be dragged into the hellfire, forcibly. Suffer the agony of retribution. |[Sura 54:48]
Everything we created is precisely measured. |[Sura 54:49]
Our commands are done within the blink of an eye. |[Sura 54:50]
We annihilated your counterparts. Does any of you wish to learn? |[Sura 54:51]
Everything they did is recorded in the scriptures. |[Sura 54:52]
Everything, small or large, is written down. |[Sura 54:53]
Surely, the righteous have deserved gardens and rivers. |[Sura 54:54]
In a position of honor, at an Omnipotent King. |[Sura 54:55]
The Most Gracious. |[Sura 55:1]
Teacher of the Quran. |[Sura 55:2]
Creator of the human beings. |[Sura 55:3]
He taught them how to distinguish. |[Sura 55:4]
The sun and the moon are perfectly calculated. |[Sura 55:5]
The stars and the trees prostrate. |[Sura 55:6]
He constructed the sky and established the law. |[Sura 55:7]
You shall not transgress the law. |[Sura 55:8]
You shall establish justice; do not violate the law. |[Sura 55:9]
He created the earth for all creatures. |[Sura 55:10]
In it there are fruits, and date palms with their hanging fruit. |[Sura 55:11]
Also grains and the spices. |[Sura 55:12]
(O humans and jinns,) which of your Lord's marvels can you deny? |[Sura 55:13]
He created the human from aged clay, like the potter's clay. |[Sura 55:14]
And created the jinns from blazing fire. |[Sura 55:15]
(O humans and jinns,) which of your Lord's marvels can you deny?   |[Sura 55:16]
Lord of the two easts and the two wests. |[Sura 55:17]
Which of your Lord's marvels can you deny? |[Sura 55:18]
He separates the two seas where they meet. |[Sura 55:19]
A barrier is placed between them, to prevent them from transgressing. |[Sura 55:20]
Which of your Lord's marvels can you deny? |[Sura 55:21]
Out of both of them you get pearls and coral. |[Sura 55:22]
Which of your Lord's marvels can you deny? |[Sura 55:23]
He gave you ships that roam the sea like flags. |[Sura 55:24]
Which of your Lord's marvels can you deny? |[Sura 55:25]
Everyone on earth perishes. |[Sura 55:26]
Only the presence of your Lord lasts. Possessor of Majesty and Honor. |[Sura 55:27]
Which of your Lord's marvels can you deny? |[Sura 55:28]
Imploring Him is everyone in the heavens and the earth. Every day He is in full control. |[Sura 55:29]
Which of your Lord's marvels can you deny? |[Sura 55:30]
We will call you to account, O humans and jinns. |[Sura 55:31]
Which of your Lord's marvels can you deny? |[Sura 55:32]
O you jinns and humans, if you can penetrate the outer limits of the heavens and the earth, go ahead and penetrate. You cannot penetrate without authorization. |[Sura 55:33]
Which of your Lord's marvels can you deny? |[Sura 55:34]
You get bombarded with projectiles of fire and metal, and you cannot win. |[Sura 55:35]
Which of your Lord's marvels can you deny? |[Sura 55:36]
When the sky disintegrates, and turns rose colored like paint. |[Sura 55:37]
Which of your Lord's marvels can you deny? |[Sura 55:38]
On that day, no human, nor a jinn, will be asked about his sins. |[Sura 55:39]
Which of your Lord's marvels can you deny? |[Sura 55:40]
(This is because) the guilty will be recognized by their looks; they will be taken by the forelocks and the feet. |[Sura 55:41]
Which of your Lord's marvels can you deny? |[Sura 55:42]
This is Gehenna that the guilty used to deny. |[Sura 55:43]
They will circulate between it and an intolerable inferno. |[Sura 55:44]
Which of your Lord's marvels can you deny? |[Sura 55:45]
For those who reverence the majesty of their Lord, two gardens (one for the jinns and one for the humans). |[Sura 55:46]
Which of your Lord's marvels can you deny? |[Sura 55:47]
Full of provisions. |[Sura 55:48]
Which of your Lord's marvels can you deny? |[Sura 55:49]
Two springs are in them, flowing. |[Sura 55:50]
Which of your Lord's marvels can you deny? |[Sura 55:51]
Of every fruit in them, two kinds. |[Sura 55:52]
Which of your Lord's marvels can you deny? |[Sura 55:53]
While relaxing on furnishings lined with satin, the fruits are within reach. |[Sura 55:54]
Which of your Lord's marvels can you deny? |[Sura 55:55]
Their beautiful mates were never touched by any human or jinn. |[Sura 55:56]
Which of your Lord's marvels can you deny? |[Sura 55:57]
They look like gems and coral. |[Sura 55:58]
Which of your Lord's marvels can you deny? |[Sura 55:59]
Is the reward of goodness anything but goodness? |[Sura 55:60]
 Which of your Lord's marvels can you deny? |[Sura 55:61]
Below them are two gardens (one for the jinns and one for the humans). |[Sura 55:62]
Which of your Lord's marvels can you deny? |[Sura 55:63]
Side by side. |[Sura 55:64]
Which of your Lord's marvels can you deny? |[Sura 55:65]
In them, wells to be pumped. |[Sura 55:66]
Which of your Lord's marvels can you deny?   |[Sura 55:67]
In them are fruits, date palms, and pomegranate. |[Sura 55:68]
